timestamp,tipo,detalle,usuario,peticion,nodo,codigo
2025-10-28 12:29:37,PETICION,Petición recibida,agustina,modo relativo,9,200
2025-10-28 12:29:39,LOGIN_OK,Inicio de sesión exitoso,agustina,,10,200
2025-10-28 12:29:39,EVENTO_INFO,Usuario operario conectado,,,10,200
2025-10-28 12:29:39,PETICION,Petición recibida,agustina,modo absoluto,10,200
2025-10-28 12:29:47,LOGIN_OK,Inicio de sesión exitoso,agustina,,11,200
2025-10-28 12:29:47,EVENTO_INFO,Usuario operario conectado,,,11,200
2025-10-28 12:29:47,PETICION,Petición recibida,agustina,mover brazo x=0,11,200
2025-10-28 12:29:54,LOGIN_OK,Inicio de sesión exitoso,agustina,,12,200
2025-10-28 12:29:54,EVENTO_INFO,Usuario operario conectado,,,12,200
2025-10-28 12:29:54,PETICION,Petición recibida,agustina,mover brazo x=1 y=10000,12,200
2025-10-28 12:30:23,LOGIN_OK,Inicio de sesión exitoso,agustina,,13,200
2025-10-28 12:30:23,EVENTO_INFO,Usuario operario conectado,,,13,200
2025-10-28 12:30:23,EVENTO_INFO,Reporte generado para usuario agustina,,,13,200
2025-10-28 12:33:57,LOGIN_OK,Inicio de sesión exitoso,agustina,,14,200
2025-10-28 12:33:57,EVENTO_INFO,Usuario operario conectado,,,14,200
2025-10-28 12:33:57,EVENTO_ERROR,Error al interpretar comando: pwd,,,14,400
2025-10-28 12:34:14,LOGIN_OK,Inicio de sesión exitoso,agustina,,15,200
2025-10-28 12:34:14,EVENTO_INFO,Usuario operario conectado,,,15,200
2025-10-28 12:34:14,EVENTO_ERROR,Error al interpretar comando: ls -l pruebas.gcode,,,15,400
2025-10-28 12:34:16,LOGIN_OK,Inicio de sesión exitoso,agustina,,16,200
2025-10-28 12:34:16,EVENTO_INFO,Usuario operario conectado,,,16,200
2025-10-28 12:34:16,EVENTO_ERROR,Error al interpretar comando: ls,,,16,400
2025-10-28 12:34:20,LOGIN_OK,Inicio de sesión exitoso,agustina,,17,200
2025-10-28 12:34:20,EVENTO_INFO,Usuario operario conectado,,,17,200
